scraper_id;scraperUrl;name;photo;dob;dod;aged;nationality;activity;intro
1564480550-3967;https://prabook.com/web/search.html#pageNumber=306&nationality=United%20States&searchBy=text&id=;Benjamin Appel;https://prabook.com/web/show-profile-photo-icon.jpg?id=10026;September 13, 1907;April 3, 1977;69;United States;writer;Benjamin Appel was an American novelist specializing in detective and crime fiction, sometimes from a radical perspective. Before he began earning a living from his writing, he was a bank clerk, farmer, lumberjack, factory-hand and a housing inspector ...
1564480838-5373;https://prabook.com/web/search.html#pageNumber=216&nationality=United%20States&searchBy=text&id=;Eliphalet Whittlesey;https://prabook.com/web/show-profile-photo-icon.jpg?id=1007;May 14, 1821;1909;87;United States;secretary board of indian commrs. of u.s;son of a farmer and school teacher, grandson of a Revolutionary soldier, clergyman, college professor, assistant adjutant general and judge advocate general United States volunteers, and secretary of the United States Board of Indian Commissioners ...
1564480886-5678;https://prabook.com/web/search.html#pageNumber=201&nationality=United%20States&searchBy=text&id=;Yuri Konovalov;https://prabook.com/web/show-profile-photo-icon.jpg?id=10141;April 10, 1952;NA;NA;United States;librarian;Yuri Konovalov is a retired librarian and university professor. From 1998 to 2001 Yuri worked at Dow Chemical Company in Midland, Michigan, United States. From 2001 to 2014 Yuri worked at Ferris State University in Big Rapids, Michigan, United States.
1564480462-3400;https://prabook.com/web/search.html#pageNumber=333&nationality=United%20States&searchBy=text&id=;Patsy Miller;https://prabook.com/web/show-profile-photo-icon.jpg?id=10257;January 17, 1904;July 23, 1995;91;United States;actor,writer;an American film actress After being discovered by the actress Alla Nazimova at a Hollywood party, Patsy Ruth Miller got her first break with a small role in Camille, which starred Rudolph Valentino. Her roles gradually improved, and she was chosen as ...
1564480459-3371;https://prabook.com/web/search.html#pageNumber=334&nationality=United%20States&searchBy=text&id=;Burton Kendall WHEELER;https://prabook.com/web/show-profile-photo-icon.jpg?id=1028;February 27, 1882;January 6, 1975;92;United States;senator;NA
1564480176-1896;https://prabook.com/web/search.html#pageNumber=416&nationality=United%20States&searchBy=text&id=;Forrest Edward Mars Jr.;https://prabook.com/web/show-profile-photo-icon.jpg?id=1031352;August 16, 1931;NA;NA;United States;businessperson;American businessmen, owner of the reputed confectionary company “Mars, Incorporated” and 82,000 acre “Diamond Cross Ranch”, Mars is the richest man in Virginia, 26th richest American and the 52nd richest person in the world. He joined Mars in 1960, ...
1564481081-6994;https://prabook.com/web/search.html#pageNumber=140&nationality=United%20States&searchBy=text&id=;Kurt Rudolf Fischer;https://prabook.com/web/show-profile-photo-icon.jpg?id=1031353;1922;2014;91;United States;philosopher;Kurt Rudolf Fischer was an Austrian Jewish philosopher, teaching in the USA and Austria. During World War II he emigrated to Shanghai in 1940 where he became Chinese boxing champion. Later Kurt Rudolf Fischer studied philosophy in Berkeley at the ...
1564480064-1357;https://prabook.com/web/search.html#pageNumber=448&nationality=United%20States&searchBy=text&id=;John Mars;https://prabook.com/web/show-profile-photo-icon.jpg?id=1031361;October 15, 1935;NA;NA;United States;businessman;John Mars and his two siblings, Forrest Jr. and Jacqueline, own Mars, the world's largest candy maker ($33 billion in sales). They inherited the company in 1999 when their father, Forrest Sr. died. All three are directors but have no day-to-day role.
1564480189-2013;https://prabook.com/web/search.html#pageNumber=412&nationality=United%20States&searchBy=text&id=;Samuel Robson Walton;https://prabook.com/web/show-profile-photo-icon.jpg?id=1031363;October 28, 1944;NA;NA;United States;businessman;S. Robson Walton is a son Sam Walton, founder of the world largest retailer Wal-Mart. As of December 2015 his networth is $29.8 billion and occupies 13th position in the Forbes 400. He held the position of Chairman of the Wal-Mart Board of Directors ...
1564481126-7266;https://prabook.com/web/search.html#pageNumber=126&nationality=United%20States&searchBy=text&id=;Keith Spruce;https://prabook.com/web/show-profile-photo-icon.jpg?id=1031366;April 9, 1953;NA;NA;United States;architect;NA
1564481500-10015;https://prabook.com/web/search.html#pageNumber=9&nationality=United%20States&searchBy=text&id=;Anatol Litvak;https://prabook.com/web/show-profile-photo-icon.jpg?id=1033705;May 5, 1902;December 15, 1974;72;United States;filmmaker;Anatol Litvak was a Russian-born American film director, producer and screenwrier. At either end of Litvak s career there is a nomadic Hurry, but in the center, from 1937-51, he looks like a Hollywood pro and a patriot. Sleeping Car was made in ...
1564480531-3833;https://prabook.com/web/search.html#pageNumber=312&nationality=United%20States&searchBy=text&id=;Thomas Peterffy;https://prabook.com/web/show-profile-photo-icon.jpg?id=1036161;1944;NA;NA;United States;chairman,entrepreneur,entrepreneur,founder,founder,chief executive officer;Thomas Peterffy, a pioneer in digital stock trading, runs brokerage business Interactive Brokers Group. He has made himself the company's figurehead and spokesman. Peterffy arrived in America in 1965 as the penniless descendant of Hungarian ...
1564480064-1346;https://prabook.com/web/search.html#pageNumber=448&nationality=United%20States&searchBy=text&id=;Alejandro Santo Domingo;https://prabook.com/web/show-profile-photo-icon.jpg?id=1036165;February 13, 1977;NA;NA;Colombia;financier,philanthropist,philanthropist,business executive;Alejandro Santo Domingo is the public face of the Santo Domingo family, which inherited a massive beer fortune when his father Julio Mario died in 2011.. Net worth: $4.6 billion (Forbes Magazine, 2015) Alejandro Santo Domingo D?vila, BA, serves as the ...
1564481373-9235;https://prabook.com/web/search.html#pageNumber=49&nationality=United%20States&searchBy=text&id=;George Soros;https://prabook.com/web/show-profile-photo-icon.jpg?id=1036193;August 12, 1930;NA;NA;United States;investor,philanthropist,philanthropist,author,author,business magnate;"Geîrge Sîros is à sålf-màde billiînaire knîwn fîr his invåstment sàvvy. Hå is fàmously knîwn às thå ""thå màn whî brîke thå Bànk of Ångland."" Soros is also fàmous for running the Quantum Fund, which gånerated àn àverage ànnual return of more than 30% ..."
1564480334-2601;https://prabook.com/web/search.html#pageNumber=373&nationality=United%20States&searchBy=text&id=;Darrin Adams;https://prabook.com/web/show-profile-photo-icon.jpg?id=1036199;NA;NA;NA;United States;director,us department of labor-vets;Serves as the State Director for the US DOL-VETS for the state of Ohio. Mount Vernon Nazarene University-Master of Business Administration (Organizational Leadership) Served in every possible leadership position from Squad Leader to Command Sergeants ...
1564480392-2981;https://prabook.com/web/search.html#pageNumber=355&nationality=United%20States&searchBy=text&id=;Anthony Malkin;https://prabook.com/web/show-profile-photo-icon.jpg?id=1036214;1960;NA;NA;United States;businessman;Anthony Malkin is an American businessman who has a net worth of $10 billion. In 1985 Mr. Malkin joined Chemical Venture Partners, L.P., a recently formed venture capital and leveraged buyout affiliate of Chemical Bank. In 1989, Mr. Malkin joined ...
1564480531-3835;https://prabook.com/web/search.html#pageNumber=312&nationality=United%20States&searchBy=text&id=;Philip Anschutz;https://prabook.com/web/show-profile-photo-icon.jpg?id=1036222;December 28, 1939;NA;NA;United States;entrepreneur;Philanthropist. Investor. Sports and entertainmentmagnate.Energy baron. Railroad enthusiast. Art collector. Political conservative. Media owner. Media recluse. Individually, none of the descriptors does justice to Philip Anschutz. Collectively, they ...
1564480048-1284;https://prabook.com/web/search.html#pageNumber=453&nationality=United%20States&searchBy=text&id=;Sidney Sheldon;https://prabook.com/web/show-profile-photo-icon.jpg?id=10425;February 11, 1917;January 29, 2007;89;United States;novelist,writer;Sidney Sheldon was a famous american novelist..Several of his novels became television miniseries, often with the Sheldon severing as producer. His TV works spanned a 20-year period. He is the seventh best selling fiction writer of all time. Sidney ...
1564480347-2685;https://prabook.com/web/search.html#pageNumber=369&nationality=United%20States&searchBy=text&id=;Henrietta Szold;https://prabook.com/web/show-profile-photo-icon.jpg?id=1046132;December 21, 1860;February 13, 1945;84;United States;educator,politician;Henrietta Szold was a U.S. Jewish Zionist leader and founder of Hadassah, the Women's Zionist Organization of America. In 1942, she co-founded Ihud, a political party in Mandatory Palestine dedicated to a binational solution. She began teaching in an ...
1564481206-7825;https://prabook.com/web/search.html#pageNumber=101&nationality=United%20States&searchBy=text&id=;Roberto Walker;https://prabook.com/web/show-profile-photo-icon.jpg?id=1046343;August 18, 1934;December 31, 1972;38;United States;baseball player,athlete,athlete,humanitarian;Baseball player Roberto Clemente became one of the national heroes of Puerto Rico. While his extraordinary prowess as a baseball player contributed to his rise to fame and popularity during his lifetime, his humbleness and charitable spirit were ...
1564480950-6061;https://prabook.com/web/search.html#pageNumber=181&nationality=United%20States&searchBy=text&id=;Dirk Brouwer;https://prabook.com/web/show-profile-photo-icon.jpg?id=1047245;September 1, 1902;January 31, 1966;63;United States;astronomer;Dirk Brouwer, Dutch educator. Recipient gold medal Royal Astronomical Society, 1955. From 1941 until 1966 he was editor of the Astronomical Journal. He specialized in celestial mechanics and together with Gerald Clemence wrote the textbook Methods of ...
1564481485-9930;https://prabook.com/web/search.html#pageNumber=14&nationality=United%20States&searchBy=text&id=;Irmgard Fl?gge-Lotz;https://prabook.com/web/show-profile-photo-icon.jpg?id=1047403;July 16, 1903;May 22, 1974;70;United States;educator,engineer,engineer,mathematician,mathematician,scientist;Irmgard Fl?gge-Lotz was a German educator, mathematician, aerospace engineer and control theorist. She is best known as a pioneer in the study of aircraft wing-lift distribution. She served as an advisor to the National Aeronautics and Space ...
1564481443-9678;https://prabook.com/web/search.html#pageNumber=27&nationality=United%20States&searchBy=text&id=;Anthony Mann;https://prabook.com/web/show-profile-photo-icon.jpg?id=1048616;June 30, 1906;April 29, 1967;60;United States;writer,film director;Anthony Mann was an American film director and writer. Whenever he went too far away from the Western, Mann looked a very conventional director, which is to say that Men in War and El Cid are disguised Westerns, working toward an ordeal by combat that ...
1564480470-3449;https://prabook.com/web/search.html#pageNumber=331&nationality=United%20States&searchBy=text&id=;Luke LEA;https://prabook.com/web/show-profile-photo-icon.jpg?id=105;April 12, 1879;November 18, 1945;66;United States;senator;Lea was an American senator. Lea actively supported lowering the tariff, the creation of the Federal Reserve, the regulation of major corporations and the breaking up of trusts. He also supported women's suffrage and a national prohibition amendment.
