id;relation;name;image;relationID
723353;Daughter;Delminda Gudolle Aranha;/web/show-photo-icon.jpg?id=10662;10662
723353;Wife;Delminda Benvinda Gudolle;/web/show-photo-icon.jpg?id=10663;10663
720889;Son;Ze'ev Binyamin (Benny);/web/show-photo-icon.jpg?id=1126;1126
723547;Shef and colleague;Ludwig Erhard;/web/show-photo-icon.jpg?id=11579;11579
724126;Son;Christian Gauck;/web/show-photo-icon.jpg?id=12577;12577
724126;Son;Martin Gauck;/web/show-photo-icon.jpg?id=12578;12578
724126;Daughter;Gesine Gauck;/web/show-photo-icon.jpg?id=12579;12579
724126;Daughter;Katharina Gauck;/web/show-photo-icon.jpg?id=12580;12580
724126;Wife;Daniela Schadt;/web/show-photo-icon.jpg?id=12581;12581
724128;Husband;Morris Meyerson;/web/show-photo-icon.jpg?id=12587;12587
724128;Son;Menahem;/web/show-photo-icon.jpg?id=12588;12588
724372;Spouse;Janette Parker;/web/show-photo-icon.jpg?id=13441;13441
92004;Father;Arnaldo de Sampaio;/web/show-photo-icon.jpg?id=13682;13682
326412;Wife;Khieu Ponnary;/web/show-photo-icon.jpg?id=1454287;1454287
326412;Daughter;Sitha;/web/show-photo-icon.jpg?id=1454288;1454288
960361;Son;Maher al-Assad;/web/show-photo-icon.jpg?id=1454396;1454396
960361;Son;Basel al-Assad;/web/show-photo-icon.jpg?id=1454397;1454397
1344004;Colleague;Joe Ghartey;/web/show-photo-icon.jpg?id=1497701;1497701
1344045;Friend;Sir Abubakar Tafawa Balewa;/web/show-photo-icon.jpg?id=1497796;1497796
1344050;Father;Abubakar Olusola Saraki;/web/show-photo-icon.jpg?id=1497826;1497826
1344050;Wife;Toyin Saraki;/web/show-photo-icon.jpg?id=1497827;1497827
1344050;Sister;Gbemisola Ruqayyah Saraki;/web/show-photo-icon.jpg?id=1497829;1497829
1344050;Brother;Laolu Saraki;/web/show-photo-icon.jpg?id=1497830;1497830
1344050;Colleague;Ike Ekweremadu;/web/show-photo-icon.jpg?id=1497831;1497831
1344055;Friend;Ibbo Mandaza;/web/show-photo-icon.jpg?id=1497834;1497834
1344072;Wife;Jewel Howard;/web/show-photo-icon.jpg?id=1497865;1497865
1344078;Colleague;Sorie Ibrahim Koroma.;/web/show-photo-icon.jpg?id=1497877;1497877
1344081;Colleague;William Ngeleja;/web/show-photo-icon.jpg?id=1497887;1497887
1344102;Colleague;Potlako Leballo;/web/show-photo-icon.jpg?id=1497953;1497953
728382;Father;Pope Alexander VI;/web/show-photo-icon.jpg?id=1498027;1498027
728382;Mother;Vannozza dei Cattanei;/web/show-photo-icon.jpg?id=1498051;1498051
1344153;Spouse;Judith Amaechi;/web/show-photo-icon.jpg?id=1498087;1498087
1344153;Son;Obinna Amaechi;/web/show-photo-icon.jpg?id=1498088;1498088
1344163;Wife;Theresa Ibori;/web/show-photo-icon.jpg?id=1498120;1498120
1344163;Daughter;Erhiatake Ibori;/web/show-photo-icon.jpg?id=1498121;1498121
1344163;Friend;Diepreye Alamieyeseigha;/web/show-photo-icon.jpg?id=1498122;1498122
1344168;Friend;Ouezzin Coulibaly;/web/show-photo-icon.jpg?id=1498159;1498159
1344168;Friend;Gamal Abdel Nasser;/web/show-photo-icon.jpg?id=1498160;1498160
1344169;Grandfather;Sekgoma Khama III;/web/show-photo-icon.jpg?id=1498168;1498168
1344169;Spouse;Ruth Williams Khama;/web/show-photo-icon.jpg?id=1498169;1498169
1344169;Daughter;Jacqueline Khama;/web/show-photo-icon.jpg?id=1498171;1498171
1344169;Son;Anthony Khama;/web/show-photo-icon.jpg?id=1498172;1498172
1344169;Son;Tshekedi Khama II;/web/show-photo-icon.jpg?id=1498173;1498173
1344192;Colleague;Adolphus Wabara;/web/show-photo-icon.jpg?id=1498226;1498226
1344210;Spouse;Amina yakowa;/web/show-photo-icon.jpg?id=1498364;1498364
1344210;Colleague;Namadi Sambo;/web/show-photo-icon.jpg?id=1498365;1498365
1344212;Spouse;Amina Namadi Sambo;/web/show-photo-icon.jpg?id=1498372;1498372
1344212;Colleague;Ibrahim Patrick Yakowa;/web/show-photo-icon.jpg?id=1498373;1498373
1344223;Colleague;John Atta Mills;/web/show-photo-icon.jpg?id=1498437;1498437
1344232;Daughter;Susan Mboya;/web/show-photo-icon.jpg?id=1498474;1498474
1344232;Friend;Kwame Nkrumah;/web/show-photo-icon.jpg?id=1498475;1498475
1344238;Spouse;Hawa Abdi Samatar;/web/show-photo-icon.jpg?id=1498581;1498581
1344238;Friend;Hassan Ali Mire;/web/show-photo-icon.jpg?id=1498582;1498582
1344239;Father;Abdirashid Ali Shermarke;/web/show-photo-icon.jpg?id=1498600;1498600
1344239;Colleague;Hassan Sheikh Mohamud;/web/show-photo-icon.jpg?id=1498601;1498601
1344241;Spouse;Asha Haji Elmi;/web/show-photo-icon.jpg?id=1498644;1498644
1344241;Colleague;Hassan Sheikh Mohamud;/web/show-photo-icon.jpg?id=1498645;1498645
724836;Wife;Wang Guangmei ;/web/show-photo-icon.jpg?id=14987;14987
1344323;Mother;Abibatu Mogaji;/web/show-photo-icon.jpg?id=1498719;1498719
1344323;Spouse;Oluremi Tinubu;/web/show-photo-icon.jpg?id=1498720;1498720
1344323;Daughter;Folashade Tinubu-Ojo;/web/show-photo-icon.jpg?id=1498721;1498721
1344323;Son;Oluwaseyi Tinubu;/web/show-photo-icon.jpg?id=1498722;1498722
1344323;Daughter;Abibat Tinubu;/web/show-photo-icon.jpg?id=1498723;1498723
1344323;Colleague;Femi Pedro;/web/show-photo-icon.jpg?id=1498724;1498724
1344325;Father;Kwame Nkrumah;/web/show-photo-icon.jpg?id=1498744;1498744
1344325;Mother;Fathia Nkrumah;/web/show-photo-icon.jpg?id=1498745;1498745
1344325;Spouse;Michele Melega;/web/show-photo-icon.jpg?id=1498746;1498746
1344325;Son;Kwame Thomas Melega;/web/show-photo-icon.jpg?id=1498747;1498747
1344330;Father;Henry Lindt;/web/show-photo-icon.jpg?id=1498786;1498786
1344330;Son;Allistair de Lille;/web/show-photo-icon.jpg?id=1498787;1498787
1344330;Daughter;Carmen de Lille;/web/show-photo-icon.jpg?id=1498788;1498788
1344330;Colleague;Helen Zille;/web/show-photo-icon.jpg?id=1498789;1498789
1344361;Mother;Eunice Uzor Kalu;/web/show-photo-icon.jpg?id=1498812;1498812
1344361;Daughter;Neya Kalu;/web/show-photo-icon.jpg?id=1498813;1498813
1344363;Spouse;Gimbiya Yakubu Dogara;/web/show-photo-icon.jpg?id=1498826;1498826
1344363;Daughter;Chimel Dogara;/web/show-photo-icon.jpg?id=1498827;1498827
1344363;Colleague;Yusuf Sulaimon Lasun;/web/show-photo-icon.jpg?id=1498828;1498828
1344368;Spouse;Onarie Duke;/web/show-photo-icon.jpg?id=1498836;1498836
1344368;Daughter;Xerona Duke;/web/show-photo-icon.jpg?id=1498837;1498837
1344368;Daughter;Dona Duke;/web/show-photo-icon.jpg?id=1498838;1498838
1344370;Colleague;Roland Issifu Alhassan;/web/show-photo-icon.jpg?id=1498865;1498865
1344372;Spouse;Evelyn Murray-Bruce;/web/show-photo-icon.jpg?id=1498887;1498887
1344372;Son;Jonathan Murray-Bruce;/web/show-photo-icon.jpg?id=1498889;1498889
1344372;Son;Jared Murray-Bruc;/web/show-photo-icon.jpg?id=1498890;1498890
1344372;Daughter;Jasmine Murray-Bruce;/web/show-photo-icon.jpg?id=1498891;1498891
1344375;Spouse;Bolanle Patience Ambode;/web/show-photo-icon.jpg?id=1498897;1498897
1346402;Spouse;Germaine Ahidjo;/web/show-photo-icon.jpg?id=1501564;1501564
722642;Mother;Klara Poelzl;/web/show-photo-icon.jpg?id=1502906;1502906
722642;Father;Alois Schickelgruber Hitler;/web/show-photo-icon.jpg?id=1502907;1502907
1718369;Son;Al-Saadi Gaddafi;/web/show-photo-icon.jpg?id=1505605;1505605
1718369;Son;Mutassim Gaddafi;/web/show-photo-icon.jpg?id=1505607;1505607
1718369;Son;Hannibal Muammar Gaddafi;/web/show-photo-icon.jpg?id=1505608;1505608
1718369;Daughter;Ayesha Gaddafi;/web/show-photo-icon.jpg?id=1505609;1505609
1718369;Son;Saif al-Arab Gaddafi;/web/show-photo-icon.jpg?id=1505610;1505610
1718369;Son;Khamis Gaddaf;/web/show-photo-icon.jpg?id=1505612;1505612
1718910;Father;Emil Rathenau;/web/show-photo-icon.jpg?id=1507145;1507145
1312288;Spouse;Maria Shriver;/web/show-photo-icon.jpg?id=1516132;1516132
1312288;Son;Patrick Schwarzenegger;/web/show-photo-icon.jpg?id=1516133;1516133
1723117;Spouse;Soong Ai-ling;/web/show-photo-icon.jpg?id=1521454;1521454
488544;Spouse;Tseng Wen-hui;/web/show-photo-icon.jpg?id=1521463;1521463
1723135;Spouse;Empress Wanrong;/web/show-photo-icon.jpg?id=1521514;1521514
1723135;Spouse;Wenxiu;/web/show-photo-icon.jpg?id=1521515;1521515
1723135;Spouse;Tan Yuling;/web/show-photo-icon.jpg?id=1521516;1521516
1723141;Father;Charlie Soong;/web/show-photo-icon.jpg?id=1521530;1521530
1723141;Sister;Soong Ching-ling;/web/show-photo-icon.jpg?id=1521531;1521531
510245;Father;Georgios Papandreou;/web/show-photo-icon.jpg?id=1531938;1531938
1434992;Wife;Shamsa bint Suhail Al Mazrouei;/web/show-photo-icon.jpg?id=1532055;1532055
720951;Son;Andrey Savitsky;/web/show-photo-icon.jpg?id=1534434;1534434
724191;Friend;Nancy Mitford;/web/show-photo-icon.jpg?id=1536822;1536822
325793;Brother;Louis Stokes;/web/show-photo-icon.jpg?id=1538765;1538765
710531;Partners;Gao Xiqing;/web/show-photo-icon.jpg?id=15522;15522
308682;Father;Jomo Kenyatta;/web/show-photo-icon.jpg?id=15833;15833
308682;Mother;Ngina Kenyatta;/web/show-photo-icon.jpg?id=15835;15835
725261;Daughter;Asma Chaabi ;/web/show-photo-icon.jpg?id=16023;16023
725385;Father;Fred Chase Koch;/web/show-photo-icon.jpg?id=16306;16306
725401;Son;Ferdinand Martin Romualdez;/web/show-photo-icon.jpg?id=16359;16359
725401;Sister;Imelda Marcos;/web/show-photo-icon.jpg?id=16360;16360
725385;Brother;William Ingraham Koch;/web/show-photo-icon.jpg?id=16390;16390
725385;Wife;Julia M. Flesher Koch;/web/show-photo-icon.jpg?id=16391;16391
326861;Wife;Cecilia Bolocco;/web/show-photo-icon.jpg?id=16446;16446
326861;Son;Maximo Menem;/web/show-photo-icon.jpg?id=16447;16447
722565;Husband;Vladimir Ilyich Ulyanov (Lenin);/web/show-photo-icon.jpg?id=16888;16888
725834;Father;Ashutosh Mukherjee;/web/show-photo-icon.jpg?id=17565;17565
725627;Wife;Sangeeta Bijlani;/web/show-photo-icon.jpg?id=17586;17586
725627;Wife;Naureen;/web/show-photo-icon.jpg?id=17588;17588
725627;Son;Ayazuddin;/web/show-photo-icon.jpg?id=17590;17590
725627;Son;Asaduddin;/web/show-photo-icon.jpg?id=17591;17591
309033;Brother;Joseph Pairin Kitingan ;/web/show-photo-icon.jpg?id=1819117;1819117
309033;Nephew;Maximus Johnity Ongkili ;/web/show-photo-icon.jpg?id=1819120;1819120
721718;Grandmother;Mariana Victoria of Spain;/web/show-photo-icon.jpg?id=1823309;1823309
721718;Godfather;Joseph I of Portugal;/web/show-photo-icon.jpg?id=1823310;1823310
722917;Colleague;Dick Cheney ;/web/show-photo-icon.jpg?id=1864860;1864860
208064;Colleague;Mike Pence ;/web/show-photo-icon.jpg?id=1865100;1865100
208064;Father;Fred Trump;/web/show-photo-icon.jpg?id=1865102;1865102
724290;Father;Marcus Annius Verus ;/web/show-photo-icon.jpg?id=1866700;1866700
724290;Mother;Domitia Lucilla;/web/show-photo-icon.jpg?id=1866702;1866702
724290;Step-brother;Lucius Verus ;/web/show-photo-icon.jpg?id=1866710;1866710
724290;Wife;Faustina the Younger;/web/show-photo-icon.jpg?id=1866716;1866716
726312;Spouse;Clar Weah;/web/show-photo-icon.jpg?id=1869119;1869119
726312;Son;Timothy Weah;/web/show-photo-icon.jpg?id=1869123;1869123
