id;name;photo;born_mo;born_da;born_ye;born_bc;bornPlace;nationality;ethnicity;religion;education;career;titles;awards;died_mo;died_da;died_ye;died_bc;diedPlace;politicalParty;dob;aged;nationality;intro;activity
111;William Lemke;https://prabook.com/web/*/111;August;13;1878;;Albany, Minnesota, United States;United States of America;;;1903 - 1904 Georgetown University//1898 - 1902 University of North Dakota//1904 - 1905 Yale University , Bachelor of Arts;1905 Lawer Fargo, North Dakota, United States//1921 - 1922 Attorney general of North Dakota North Dakota, United States;;;May;30;1950;;Fargo, North Dakota, United States;Republican Party;August 13, 1878;71;United States;William Frederick Lemke was a United States politician, a Representative from North Dakota and unsuccessful third-party presidential candidate (1936). After graduation from Yale in 1905 William Lemke set up to law practicing at Fargo. From 1921 to ...;politician,congressman
223;Francis Oscar Lindquist;https://prabook.com/web/*/223;September;27;1869;;Marinette, Wisconsin, United States;United States of America;;;;1915 President , Canada Mills Company Grand Rapids, Michigan, United States//1904 - 1915 President of the company , Mail-order clothing and manufacturing business//March 4, 1913 - March 4, 1915 Michigan's 11th congressional district;;;September;25;1924;;Grand Rapids, Michigan, United States of America;Republican Party;September 27, 1869;54;United States;"Francis O. Lindquist was a Representative from Michigan. In 1904 Francis engaged in the mail-order clothing and manufacturing business; moved to Grand Rapids, Michigan, in 1915 and became president of the Canada Mills Co., of New York and Michigan.";politician,congressman
299;Thomas Andrew Osborn;https://prabook.com/web/*/299;October;26;1836;;Meadville, Pennsylvania, United States;United States of America;;Methodist;Allegheny College;1881 - 1885 Minister , United State Embassy in Brasil//1873 - 1877 Governor of Kansas , United States Federal Government//1877 - 1881 Minister , United State Embassy in Chili//1865 - 1867 United States Marshall , United States Marshals Service;;;February;4;1898;;Meadville, Pennsylvania, United States;Republican Party;October 26, 1836;61;United States;The sixth Governor of Kansas and diplomat. In November of 1857, Osborn moved to Lawrence, Kansas where he became a compositor for the Herald of Freedom. The following year, Osborn was practicing law in Elwood, Kansas and was known to be a Republican ...;politician,diplomat
581;Clarence Joseph Morley;https://prabook.com/web/*/581;February;9;1869;;Dyersville, Iowa, United States of America;American;;Methodist;;January 1, 1919 - January 1, 1925 Judge , District Court//January 1, 1910 - January 1, 1916 Partner , Frank McDonough, Sr//January 1, 1925 - January 1, 1927 Governer of Colorado , Government of Colorado//January 1, 1906 - January 1, 1910 Teller & Dorsey//January 1, 1900 - January 1, 1906 law firm of Teller, Orahood & Morgan//January 1, 1897 Colorado Bar//public administrator , Denver;;;November;15;1948;;Denver, Colorado, United States of America;Republican Party;February 9, 1869;79;American;"Clarence Joseph Morley, American governor. Served as public administrator, Denver, 4 years; member State Board of Pardons 4 years; Member Colorado and Denver bar associations; Mason (32 degree, Kansas City.C.H.). He was a Republican. Before becoming ...";politician,governor
1237;Charles Grandison Williams;https://prabook.com/web/*/1237;October;18;1829;;Royalton, Minnesota, United States;United States of America;;;;1873 - 1874 Representative of Wisconsin , United States 43d Congress//1874 - 1876 Representative of Wisconsin , United States 44th Congress//1871 - 1872 Representative of Wisconsin , United States 47th Congress//1879 - 1880 Representative of Wisconsin , United States 46th Congress//1871 - 1872 Chairman , Committee on Foreign Affairs (47th Congress)//1869 - 1872 Representative , Wisconsin State Senate//1877 - 1878 Representative of Wisconsin , United States 45th Congress;;;March;30;1892;;;Republican Party;October 18, 1829;62;United States;Charles Grandison Williams was the Member of the U.S. House of Representatives from Wisconsin's 1st district. He served in the Wisconsin State Senate 1869-1872. Twice chosen president pro tempore of that body. Also served as chairman of the Committee ...;politician,congressman,lawyer
1353;Edwin de Leon;https://prabook.com/web/*/1353;May;4;1818;;;American;;;South Carolina College;1853 consul-general , Ambassy of Confederacy Egypt//1850 editor , the Savannah Republican//1850 Founder , The Southern Press//1850 editor , the Columbia, South Carolina Telegraph;;the grand cross of the Order of San Sauveur, Greece He took the Greeks,expelled from the Ottoman doHe took the Greeks,expelled from the Ottoman dominion under the protection of the American flag. The King of Greece tendered him the grand cross of the Order of San Sauveur, but Leon declined on the ground that it was anti-republican;November;30;1891;;;;May 4, 1818;73;American;De Leon graduated from South Carolina College and studied law, but soon turned to literature and politics.;politician,diplomat,journalist,writer
1708;Thomas Patterson;https://prabook.com/web/*/1708;;;1839;;Company of Carlow, Ireland;Ireland;Irish;;1862 - 1863 Indiana Asbury University , Law , A.M.//1863 Wabash College , Law , Doctor of Medicine//public school in Astoria, Long Island;1867 - 1872 law practice , bar Crawfordsville, Indiana, United States//1873 - 1874 city attorney , bar Denver, United States//1901 - 1907 democrat , The United States Senate//1875 - 1876 Democratic delegate from the Colorado Territory , the 44th Congress//1900 publisher , Denver Times Denver, the USA//1890 publisher , Rocky Mountain News Denver, the USA//March 4, 1877 - March 3, 1879 Congressman in the 45th Congress , the United States House of Representatives//1874 - 1880 member , Democratic National Committee;;;;;;;Denver, Colorado, United States of America;Democratic Party;November 4, 1839;76;Ireland;"Thomas Macdonald Patterson, Irish senator. member 45th Congress (1877-1879); member Dem. In Crawfordsville, Indiana, the young Patterson found work in a printing office and with a watchmaker and jeweler. When the Civil War broke out in 1861, Patterson ...";politician,editor,journalist,senator,newspaper publisher
2497;Jeremiah Morrow;https://prabook.com/web/*/2497;October;6;1771;;Gettysburg, Adams County, United States of America;American;;;;;;;March;22;1852;;Lebanon, Warren County, United States of America;Democratic Republican;October 6, 1771;80;American;"Jeremiah Morrow, American senator, governor of Ohio. member Ohio Territorial House of Representatives, 1801-1802,; member United States House of Representatives from Ohio, 8th-12th, 26th-27th congresses, 1803-1813, 40-43; member Ohio House of ...";politician,governor,senator
2533;Michael R. Knapik;https://prabook.com/web/*/2533;February;11;1963;;Westfield, Massachusetts, United States;American;;Catholic;"""College of the Holy Cross""";1985 - 1986 teacher , St. Stanislaus School Chicopee, Massachusetts, United States//3rd assistant , minority floor leader//1986 - 1989 manager , Friendly Ice Cream Corporation//Former member , Joint Committees Health Care & Government Regulations//1991 - 1994 member , 4th Hampden District Massachusetts House of Representatives//1986 - 1989 legislature aide House Minority Leader , Steven D. Pierce Westfield, Indiana, United States//member , 2nd Hampden District Massachusetts State Senate;;;;;2013;;;Republican Party;February 11, 1963;49;American;Michael R. Knapik, American state legislator. Member of Westfield 2000 (board director), Citizen's Scholar Foundation (vice president), Greater Westfield C. of Chamber (board director), Holly Cross Club (Pioneer Valley), Knights of Columbus (Westfield).;politician,congressman
2594;John Coit Spooner;https://prabook.com/web/*/2594;January;6;1843;;New York City, New York, United States of America;American;;;;;;;June;11;1919;;New York City, New York, United States of America;Republican Party;January 6, 1843;76;American;"John Coit Spooner, American senator Served private Company A, 40th Wisconsin Infantry. He served in the United States Senate from 1885 to 1891 and from 1897 to 1907. A Republican, by the 1890s he was one of the ""Big Four"" key Republicans who largely ...";politician,lawyer
2686;Thomas Holenstein;https://prabook.com/web/*/2686;;;1896;;Switzerland;Switzerland;Swiss;Catholic;;;;;;;1962;;;;February 7, 1896;65;Switzerland;"Thomas Holenstein, Swiss government official. member Swiss Federal Council, 1955-1959, head department public economy, president federal bank commission, 1951-1954, president Swiss confederation, 1958; member Great Council Canton of St. Gall, ...";politician,government official
3379;Lewis H. Moore;https://prabook.com/web/*/3379;December;22;1958;;Carbondale, Illinois, United States;American;;Christian;University Arkansas , Bachelor of Arts//N. Mexico Military Institute , Associate in Science;;;;;;;;;Republican Party;December 22, 1958;;American;Lewis H. Moore is an American politician in the United States. state of Oklahoma. In the legislative session of his first term as a lawmaker in 2009, Moore was the primary author of a total of 14 bills. Of those, one passed in the House but died in ...;politician
4632;Jon Richards;https://prabook.com/web/*/4632;September;5;1963;;Waukesha, Wisconsin, United States;American;;;"1994 University Wisconsin , Juris Doctor//""University of Wisconsin–Madison""//""University of Wisconsin Law School""//1986 Lawrence University , Bachelor of Arts//""Lawrence University""";assistant , minority leader//Member , District 19 Wisconsin State Assembly;;Recipient Friend of Agriculture award, WisconsiRecipient Friend of Agriculture award, Wisconsin Farm Bureau, 2006, Voice for Choice award, Planned Parenthood Wisconsin. Flemming fellow, Center Policy Alternatives.;;;;;;Democratic Party;September 5, 1963;;American;"Jon Richards, American state legislator. Recipient Friend of Agriculture award, Wisconsin Farm Bureau, 2006, Voice for Choice award, Planned Parenthood Wisconsin; Flemming fellow, Center Policy Alternatives. Member of American Council Young Political ...";politician,lawyer
5041;Herbert Samuel;https://prabook.com/web/*/5041;November;6;1870;;Liverpool, United Kingdom;English;Jewish;Zionism//Judaism;1892 University College School in Hampstead, north west London//Balliol College, Oxford;1902 - 1916 Member of Parliament for the Cleveland , Parliament United Kingdom, London//1914 - 1915 President , Local Government Board United Kingdom, London//May 26, 1915 - January 18, 1916 Postmaster-General , Cabinet United Kingdom, London//August 26, 1931 - October 1, 1932 Home Secretary , Cabinet United Kingdom, London//July 1, 1920 - June 25, 1925 1st High Commissioner of Palestine , The office of the High Commissioner of Palestine Jerusalem, Israel//February 14, 1910 - February 11, 1914 Postmaster-General , Cabinet United Kingdom, London//January 12, 1916 - December 7, 1916 Home Secretary , Cabinet United Kingdom, London//November 25, 1915 - February 11, 1916 Chancellor of the Duchy of Lancaster , Cabinet United Kingdom, London//1944 - 1955 Leader of the Liberal Party , House of Lords United Kingdom, London//June 25, 1909 - February 14, 1910 Chancellor of the Duchy of Lancaster , Cabinet United Kingdom, London;;;February;2;1963;;London, United Kingdom;Liberal Party;November 6, 1870;92;English;Herbert Louis Samuel was a British Liberal politician who was the party leader from 1931 to 1935. He was the first nominally-practising Jew, although a personal atheist, to serve as a Cabinet minister and to become the leader of a major British ...;politician,government official
